Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
49	0.24	398.48093	-1938.25317	810.68945	433.86514	-1916.19824	921.24243	551.43414	-1849.17651	1278.0957
50	0.245	398.31564	-1937.88281	810.33112	433.61041	-1915.75732	920.73199	551.23224	-1847.44702	1277.64966
51	0.25	397.97885	-1937.38379	810.00836	433.35532	-1915.59485	920.07098	551.14502	-1846.45764	1277.19019
52	0.255	397.65723	-1936.95337	809.57025	433.17877	-1915.02283	919.84607	550.95184	-1844.8324	1276.50085
53	0.26	397.29037	-1936.08533	809.32776	432.84387	-1913.66589	919.47205	551.17426	-1845.0415	1275.97778
54	0.265	396.93698	-1935.72351	808.84515	432.68115	-1913.67993	918.88196	551.15778	-1843.45752	1275.38428
55	0.27	396.63535	-1935.02637	808.58295	432.71173	-1913.68225	918.51703	551.29968	-1842.9176	1274.97131
56	0.275	396.43506	-1934.82202	808.25922	432.44061	-1912.2876	918.11273	551.29779	-1841.89819	1274.35034
57	0.28	396.1416	-1933.87524	808.00653	432.19611	-1911.38452	917.90503	551.43152	-1841.02747	1273.703
58	0.285	395.90604	-1933.54639	807.70844	432.02744	-1910.97229	917.50964	551.47607	-1839.3689	1273.23035
59	0.29	395.7099	-1933.26746	807.3056	431.89691	-1909.87671	917.24731	551.88171	-1838.06543	1272.77307
60	0.295	395.46243	-1933.13416	807.09515	431.78317	-1909.58386	916.86896	552.00635	-1836.3075	1272.14441
61	0.3	395.24594	-1932.52173	806.86884	431.69574	-1908.67639	916.64233	552.43604	-1836.32324	1271.58057
62	0.305	394.89722	-1931.07434	806.78027	431.58975	-1907.81152	916.22351	552.77673	-1833.43616	1271.03674
63	0.31	394.7464	-1930.375	806.57916	431.49771	-1906.83679	916.08429	553.1734	-1832.42651	1270.6969
64	0.315	394.5759	-1929.89111	806.448	431.43692	-1905.86755	915.90051	553.68884	-1830.88647	1270.00305
65	0.32	394.36856	-1929.0769	806.37634	431.43298	-1904.22961	915.80365	554.24707	-1829.5282	1269.40247
66	0.325	394.17743	-1928.0437	806.33252	431.47784	-1903.13196	915.67859	555.00299	-1828.24756	1269.01587
67	0.33	394.14478	-1926.97034	806.2627	431.47867	-1902.29565	915.48596	555.37939	-1826.29333	1268.35254
68	0.335	394.15875	-1926.62085	806.18073	431.76117	-1901.75769	915.12189	556.55316	-1825.56494	1268.08179
69	0.34	394.21393	-1925.82642	806.07532	431.99783	-1900.52893	914.90479	556.92554	-1822.97424	1267.55603
70	0.345	394.2149	-1924.75769	806.02075	432.15063	-1899.61047	914.85126	557.7912	-1821.61462	1266.94519
71	0.35	394.26846	-1923.78857	805.98602	432.42093	-1899.09106	914.54755	558.99231	-1820.50146	1266.35535
72	0.355	394.41672	-1922.27625	806.12988	432.72729	-1897.46423	914.41003	559.99103	-1817.90295	1265.90271
73	0.36	394.43585	-1921.33777	806.06891	433.12897	-1896.00293	914.40479	560.81934	-1816.13733	1265.58643
74	0.365	394.62131	-1919.99609	806.12543	433.54367	-1895.33484	914.16034	561.48553	-1812.83325	1264.99683
75	0.37	394.80569	-1918.38171	806.09479	434.03497	-1893.22388	914.10236	562.62463	-1811.1394	1264.64636
76	0.375	395.26651	-1917.17651	806.15735	434.42917	-1891.30566	914.07123	563.72449	-1808.60339	1264.1925
